"","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES","cluster"
"29",23,1612.07578512397,28.1487603305785,5.46487603305785,2,26,121,61,3
"30",23,1465.79470588235,34.0882352941176,5.02205882352941,2,9,34,21,2
"31",22,1552.64868421053,26.2894736842105,4.85526315789474,2,10,38,15,2
"32",22,1142.30769230769,24,6.13461538461539,2,5,13,5,4
"33",22,2513.45,57.6666666666667,6,1,1,3,3,1
"34",22,1758.88846590909,33.5681818181818,6.20170454545455,3,29,176,84,3
"35",23,1897.32714285714,36.0714285714286,6.88392857142857,3,3,28,22,3
"36",21,1019.27272727273,26.8181818181818,4.38636363636364,2,5,11,5,4
"37",22,1467.51810344828,35.3448275862069,5.89655172413793,2,17,58,29,2
"38",23,1475.20906976744,28.3023255813953,5.00581395348837,3,16,43,23,2
"39",23,1377.64428571429,20.7857142857143,4.89285714285714,2,5,14,7,2
"40",22,1566.14965116279,29.5232558139535,5.375,2,20,86,43,2
"41",22,1593.65601895735,32.1635071090047,5.99407582938389,5,70,844,242,2
"42",23,1820.21836585366,32.1,6.40304878048781,4,34,410,126,3
"43",23,1567.94723809524,28.3619047619048,5.55238095238095,2,37,210,77,2
"44",24,1711.17826086957,34.0434782608696,5.75,2,8,23,13,3
"45",22,1383.09467948718,34.1570512820513,5.10897435897436,3,21,312,78,2
"46",25,1414.75703703704,27.8518518518519,5.2962962962963,2,6,54,32,2
"47",23,1180.35681818182,27.3181818181818,4.25,2,9,22,17,4
"48",23,1696.51692307692,35.6153846153846,6.55128205128205,3,3,39,28,3
"49",21,1691.85806451613,27.258064516129,5,2,7,31,20,3
"50",21,1426.10742857143,26.6285714285714,4.3,2,8,35,15,2
"51",22.5,1325.41666666667,28,3.375,2,2,6,2,2
"52",23.5,1481.70875,37.25,6.4375,2,12,24,18,2
"53",21,1367.78654320988,32.4938271604938,5.79320987654321,3,13,81,29,2
"54",21,1095,29.3333333333333,6.16666666666667,2,3,3,3,4
"55",21.5,1805.69226190476,31.7738095238095,5.36904761904762,2,14,84,37,3
"56",23,1826.68620689655,37.3103448275862,6.41379310344828,2,5,29,25,3
"57",22,1200.38714285714,24.9142857142857,4.72857142857143,2,11,35,21,4
"58",23,1681.36554054054,33.2432432432432,6.46621621621622,2,3,74,38,3
"59",22,1063.874,28.8,4.825,1,3,10,4,4
"60",24,2224.944,47,8.4,2,2,5,3,1
"61",22,1080.45205882353,21.9705882352941,4.13235294117647,2,12,34,16,4
"62",23.5,835.75,12.375,3.0625,2,3,8,4,4
"63",21,2047.5,35,5.8,1,1,5,1,3
"64",23,1412.25279863481,28.7508532423208,5.64163822525597,6,38,293,119,2
"65",22,1475.5339047619,31.4952380952381,5.70238095238095,4,32,105,61,2
"66",22,1352.11222222222,31.4666666666667,5.41111111111111,3,13,45,28,2
"67",21,1338.82310810811,29.3783783783784,5.33108108108108,6,28,148,55,2
"68",22,1272.28782608696,31.945652173913,5.77717391304348,4,17,92,45,2
"69",22,770.714285714286,33.2857142857143,5.92857142857143,2,2,7,4,4
"70",21,1189.51941176471,24.5588235294118,4.13235294117647,3,15,34,19,4
"71",22,1430.96840236686,28.3372781065089,5.62278106508876,6,44,169,83,2
"72",22,2059.63625,28.875,5.65625,3,6,8,5,3
"73",22,1405.68080645161,31.8790322580645,5.89112903225806,3,20,124,48,2
"74",23,1422.752,36.2,6.2,3,8,15,12,2
"75",22,1800.29540540541,35.1981981981982,6.52927927927928,5,18,111,62,3
"76",22,1495.20168421053,33.0947368421053,5.77894736842105,4,27,95,46,2
"77",20,1200,38,5,1,1,1,1,4
"78",23,1488.46666666667,19.8,5.63333333333333,2,6,15,7,2
"79",22,1492.60349206349,30.8730158730159,6.51190476190476,3,15,63,30,2
"80",22,1475.06252459016,37.1245901639344,6.96803278688525,5,56,610,173,2
"81",22,1454.79166666667,34.7083333333333,5.53125,2,7,24,16,2
"82",22,2313.28571428571,49.2857142857143,7.96428571428571,2,3,7,7,1
"83",22.5,988.464285714286,31.2857142857143,5,2,6,14,13,4
"84",22,1601.28571428571,29.7142857142857,5,2,3,7,4,3
"85",21,1670.91147826087,36.1478260869565,6.55869565217391,3,7,115,47,3
"86",21,1287.18571428571,30,5.00595238095238,2,12,42,26,2
"87",21,675.277777777778,30.2222222222222,5.33333333333333,2,5,9,5,4
"88",21,1312.13481481481,31.7777777777778,6.12962962962963,2,7,27,13,2
"89",21,882.727272727273,29.7272727272727,5.54545454545455,2,5,11,7,4
"90",22,1144.06189655172,33.7586206896552,5.91379310344828,2,12,58,34,4
"91",21,1206.23674698795,31.4698795180723,5.58433734939759,4,13,83,36,4
"92",21.5,1232.83333333333,39.5,5.75,2,5,6,5,4
"93",23.5,1048,35,6.21428571428571,2,9,14,10,4
"94",21,1261.25,44.85,5.375,2,5,20,13,2
"95",23,988.5,36.4285714285714,4.85714285714286,2,4,21,15,4
"96",22,1664.77978723404,29.3404255319149,5.53723404255319,4,14,47,27,3
"97",23,1180.11,26.4,5.6,1,4,5,4,4
"98",21,1638.17056603774,40.7169811320755,6.55188679245283,3,13,53,25,3
"99",23,1455.78712374582,29.7642140468227,6.11747491638796,7,76,598,199,2
"100",22,819.292682926829,23,4.36585365853659,2,16,41,15,4
"101",21.5,1370.05508695652,31.804347826087,5.49021739130435,6,39,230,104,2
"102",21,1209.45435643564,27.2475247524752,4.4950495049505,3,21,101,40,4
"103",21,1174.03650793651,30.015873015873,6,4,21,63,23,4
"104",21,1229.86774193548,26.0322580645161,4.05645161290323,2,14,31,17,4
"105",22,1244.26470588235,29.1176470588235,4.35294117647059,4,13,34,21,2
"106",22,1100,31,5,1,1,1,1,4
"107",21,1929.16079710145,35.2608695652174,5.96557971014493,3,31,138,59,3
"108",21,1429.77051724138,26.2241379310345,4.87068965517241,4,18,58,33,2
"109",22,1514.11633663366,32.1757425742574,6.54888613861386,5,67,808,218,2
"110",21,1169.9,31.9333333333333,6.36666666666667,2,8,15,9,4
"111",21.5,1140.15620689655,25.1206896551724,5.04741379310345,3,20,58,29,4
"112",22,1460.02899371069,35.6498951781971,6.9538784067086,3,59,477,187,2
"113",21,1168.07692307692,51.5384615384615,6.75,2,4,13,7,4
"114",21.5,2065.19827586207,44.5172413793103,7.74137931034483,2,7,58,19,3
"115",21,1274.56733333333,31.3333333333333,5.08333333333333,2,13,30,22,2
"116",21,1329.22322033898,29.2881355932203,5.81779661016949,2,21,59,25,2
"117",21,1045,45,6.5,1,2,2,2,4
"118",22,1429.2,43.5172413793103,8.48275862068965,2,12,29,15,2
"119",22,1364.58446043165,31.8129496402878,6.15887290167866,6,51,417,141,2
"120",21,1044.14516129032,28.0645161290323,5.24193548387097,3,13,31,20,4
"121",22,1144.6875,37.5,8.59375,2,4,8,6,4
"122",22,1546.0276344086,36.3225806451613,6.91666666666667,3,19,93,47,2
"123",21,1139.5,24.6666666666667,4.72222222222222,2,7,9,8,4
"124",23,879.643636363636,19.7272727272727,4.18181818181818,1,5,11,5,4
"125",22,1550.9,29.1,6.9,3,10,20,17,2
"126",20,1399.375,49.25,8.3125,2,3,4,3,2
"127",22,1170,40,9,1,1,1,1,4
"128",21,1370.57142857143,30.5,4.92857142857143,1,9,14,11,2
"129",22.5,1869.6,32.3,6.25,2,5,10,5,3
"130",21,1597.46666666667,28.4,5.15,3,10,15,9,3
"131",20,2960,60,8,1,1,1,1,1
"132",21,1530.60541666667,41.125,5.8125,2,6,24,13,2
"133",23,1205.73466666667,28.6,4.56666666666667,2,5,15,8,4
"134",22,1272.75705882353,45.5294117647059,5.65441176470588,2,14,34,15,2
"135",21,1345.55555555556,31.5555555555556,3.88888888888889,1,4,9,3,2
"136",21,1156.935,32.5,5.5,1,1,4,1,4
"137",22,1644.44444444444,31.1111111111111,4.11111111111111,1,2,9,1,3
"138",23,1426.25,31.0666666666667,4.21666666666667,2,3,15,6,2
"139",22,1320.5,34.4230769230769,4.76923076923077,2,3,26,9,2
"140",21,806.59375,21.25,3.96875,2,4,8,4,4
"141",21,1230,28,7.5,1,2,3,2,4
"142",22,1191.72222222222,30,4.83333333333333,2,4,9,6,4
"143",23,1220.63461538462,30.4615384615385,4.01923076923077,3,3,13,3,4
"144",22,1376.7584375,24.96875,5.3359375,4,11,32,21,2
"145",21,1304.86722222222,42.6111111111111,5.875,2,13,36,22,2
"146",23,1204.78892857143,34.2142857142857,6.4375,2,4,28,16,4
"147",22,1375.30758333333,34.6416666666667,5.71041666666667,5,28,120,63,2
"148",22,1087.19318181818,28.8636363636364,4.84090909090909,3,5,22,15,4
"149",29.5,1046.5,34,4.875,1,2,2,2,4
"150",23,1150.884,32.9,4.7,2,5,10,6,4
"151",22,1360,15,4.25,1,1,1,1,2
"152",23,1128.69736842105,32.8947368421053,6.31578947368421,4,9,19,14,4
"153",21,1410.43242424242,34.0606060606061,5.3030303030303,2,9,33,15,2
"154",35.5,1869.03,45,7,2,1,2,1,3
"155",22.5,1306.25,33,6.125,3,4,4,4,2
"156",21,1392.66666666667,30,4.9,1,2,15,3,2
"157",21,1036.1875,31.5,3.6875,1,3,8,2,4
"158",20,1639.16666666667,54.3333333333333,5.83333333333333,1,2,3,2,3
"159",24.5,1145,21.5,4.75,1,2,2,2,4
"160",20,1500.75,39,5.35,1,5,10,4,2
"161",23,1012.125,34.375,5.53125,2,7,8,6,4
"162",26,1347.00333333333,10.3333333333333,4,2,2,3,2,2
"163",23,1164.34666666667,43,5.66666666666667,1,1,3,1,4
"164",23,1124.78814814815,29,4.28703703703704,1,8,27,16,4
"165",22,1376.80216216216,31.9189189189189,4.86486486486486,3,14,37,19,2
"166",21,1404.7,35.6,3.95,1,3,20,4,2
"167",23,1431.20535714286,28.2380952380952,5.95833333333333,3,27,84,49,2
"168",22.5,758.4,30,4,1,1,2,1,4
"169",23,1544.36647058824,27.9411764705882,5.17892156862745,4,29,102,56,2
"170",23,1302.89890625,30.78125,5.515625,3,30,64,38,2
"171",22,1074.18142857143,24.8571428571429,5.14285714285714,2,5,7,6,4
"172",21.5,690,14,3,1,1,2,1,4
"173",23,1361.8220625,32.725,6.565625,4,20,80,46,2
"174",23,1256.91578571429,28.6071428571429,5.25714285714286,3,33,140,90,2
"175",22,1476.39932885906,33.6375838926174,6.69630872483221,3,24,149,79,2
"176",23,1017.07,24,5,1,1,1,1,4
"177",21,1624.75442105263,32.2877192982456,6.71491228070175,5,43,285,116,3
"178",22,1531.78432835821,29.6069651741294,6.53482587064677,3,32,201,98,2
"179",22,1641.73983098592,35.3605633802817,6.9556338028169,4,30,355,86,3
"180",21.5,1233.38333333333,33.3333333333333,5.875,1,3,6,3,4
"181",23,1895.13414285714,37.4142857142857,7.57142857142857,5,14,70,40,3
"182",22,1475.35103448276,29.3448275862069,5.78448275862069,4,11,29,14,2
"183",22.5,1377.48261904762,26.952380952381,5.17261904761905,3,13,42,25,2
"184",19.5,724.6875,26.625,3.71875,2,4,8,5,4
"185",22,1651.84572580645,29.6612903225806,5.61693548387097,3,22,62,45,3
"186",22,1668.67113636364,31.9318181818182,7.16477272727273,3,17,44,28,3
"187",23,1268.95416666667,28.4305555555556,4.25520833333333,2,12,144,35,2
"188",23,2260.25333333333,26.6666666666667,4.08333333333333,2,4,6,4,1
"189",24,1167.0875,22.75,5,1,2,4,2,4
"190",22,1306.30788461538,27.6730769230769,5.46634615384615,2,11,52,29,2
"191",20,1443.125,31.25,4.8125,1,1,4,2,2
"192",22,1358.08546153846,35.9,6.15961538461538,4,32,130,67,2
"193",21.5,1363.208,29.5,5.1,3,6,10,8,2
"194",24,0,30,6,1,1,1,1,4
"195",23,1519.9679787234,28.8776595744681,5.66622340425532,5,34,188,85,2
"196",23,1775.85880952381,32.4603174603175,6.73313492063492,4,40,252,72,3
"197",23,1511.3675,29.875,6,2,7,8,8,2
"198",32,1500,30,5,1,1,1,1,2
"199",23,1504.38766666667,31.5333333333333,5.85833333333333,3,6,30,26,2
"200",23,1056.90294117647,27.6470588235294,5.16176470588235,2,7,17,11,4
"201",22,1900.6,22.9333333333333,4.53333333333333,1,5,15,5,3
"202",26,1912.1,30,6,1,1,1,1,3
"203",21.5,1182.29384615385,29.2692307692308,5.20192307692308,2,9,26,14,4
"204",22,1467.84939759036,31.6084337349398,5.24698795180723,3,32,166,77,2
"205",22,1442,34,4.3,1,3,5,4,2
"206",21,1761.17692307692,24.1538461538462,4.53846153846154,1,7,13,6,3
"207",21,2379.16666666667,50,6.75,1,4,6,2,1
"208",20,1600,30,4,1,1,1,1,3
"209",22,1622.45943925234,33.7102803738318,5.13551401869159,1,25,107,44,3
"210",21.5,1830.43846153846,27.4230769230769,4.60576923076923,1,9,26,8,3
"211",21,1162.68923076923,29.0769230769231,4.5,1,5,13,5,4
"212",22,1481.16416666667,26,4.38541666666667,2,10,24,12,2
"213",22,1535.7976744186,28.3139534883721,4.76453488372093,2,26,86,40,2
"214",21.5,935.5,35,5.25,1,3,4,3,4
"215",21,1705,26,5.125,1,2,4,2,3
"216",22,1401.44484939759,33.0572289156626,5.58810240963855,4,36,332,102,2
"217",22,1371.46248677249,35.6402116402116,5.7962962962963,2,32,189,69,2
"218",23,1734.2728,40.84,6.36,4,5,25,18,3
"219",22,1554.5304,32.744,5.80466666666667,5,50,375,153,2
"220",22,1780.36170212766,32.5744680851064,6.01595744680851,3,7,47,23,3
"221",22,1641.51675,26.375,4.35625,3,7,40,12,3
"222",22,1283.48,35.0540540540541,6.09459459459459,4,18,74,31,2
"223",21,1633.34375,33.275,4.9625,2,11,40,16,3
"224",22,1664.19486842105,35.4342105263158,5.71710526315789,3,31,76,26,3
"225",21,1177.5,29.1333333333333,3.65,1,5,15,3,4
"226",22,1638.64,15,4.75,1,1,2,2,3
"227",22,1578.79504672897,35.3644859813084,5.46495327102804,2,26,107,43,2
"228",21,899.930952380952,27.5238095238095,4.38095238095238,2,4,21,7,4
"229",22,1606.8787434555,32.6858638743456,5.84947643979058,5,33,191,89,3
"230",22,1666.43965517241,32.6551724137931,4.9051724137931,2,8,29,11,3
"231",22,1581.46506382979,36.531914893617,6.02553191489362,3,43,235,66,2
"232",22,1414.96381679389,39.5725190839695,6.04961832061069,6,30,131,48,2
"233",21,1400.83333333333,26.3333333333333,4.16666666666667,1,3,3,2,2
"234",21,1603.03333333333,33.4747474747475,5.49242424242424,2,28,99,34,3
"235",21,2453.75,45,6.625,1,1,2,1,1
"236",22,1489.775546875,35.40625,6.189453125,3,29,128,51,2
"237",22,1505.55125,34.203125,5.791015625,4,25,128,62,2
"238",22,1323.69197324415,36.3478260869565,5.85284280936455,2,38,299,85,2
"239",21,1313.18888888889,33.8888888888889,5.05555555555556,2,4,9,7,2
"240",22,1636.02453125,33.203125,5.30859375,3,8,64,32,3
"241",22,1328.26387096774,29.741935483871,4.91129032258065,3,9,31,20,2
"242",20,1521.565,25.625,3.75,3,2,16,3,2
"243",23,1000,30,5,1,1,3,1,4
"244",22,1464.83989915966,34.5773109243697,6.13697478991597,7,68,1190,309,2
"245",23,1051.29857819905,28.4265402843602,4.20616113744076,3,13,211,74,4
"246",22,1490.43535714286,34.2428571428571,6.50654761904762,5,28,420,129,2
"247",22,1207.83333333333,43.5,6.91666666666667,1,5,6,4,4
"248",23,1030.32,30,3.91666666666667,2,1,3,2,4
"249",21.5,1050.02027777778,28.9444444444444,4.56944444444444,2,9,36,19,4
"250",22,1496.73230769231,26.0769230769231,5.01923076923077,2,3,13,6,2
"251",21,1202.89259259259,30.8888888888889,4.41666666666667,2,9,27,14,4
"252",22,1688.53068965517,33.7011494252874,6.05747126436782,3,12,87,44,3
"253",22,1350.77777777778,33.3888888888889,4.29166666666667,1,3,18,7,2
"254",22,1234.45205882353,41.5882352941176,5.63235294117647,3,12,34,16,2
"255",23,3016.79166666667,41.7777777777778,6.83333333333333,1,3,9,4,1
"256",20,1225.25,26,3.25,1,1,2,1,4
"257",21,656.09,26.5,4.08333333333333,1,2,6,3,4
"258",22,1264.12692307692,26.7692307692308,4.17307692307692,1,3,13,7,2
"259",22,1651.49759036145,33.6867469879518,5.54819277108434,3,27,83,36,3
"260",22,1109.84107142857,26.2857142857143,4.60714285714286,2,8,28,16,4
"261",25,1508,19,4,1,1,1,1,2
"262",22,1189.93708333333,34.1944444444444,4.67361111111111,2,21,72,37,4
"263",23,1768.19330917874,36.3164251207729,7.71014492753623,4,49,414,117,3
"264",22,1688.75291666667,37,7.10763888888889,2,16,72,27,3
"265",22,1737.01108695652,26.3260869565217,6.81521739130435,2,13,46,19,3
"266",22,2743.33333333333,52,9,2,2,3,2,1
"267",21,1784.28571428571,24.8571428571429,5.71428571428571,1,4,7,4,3
"268",24,1546.66666666667,55,10.1666666666667,1,3,6,3,2
"269",22,2698.50833333333,39.4666666666667,8.55833333333333,2,8,30,8,1
"270",21,1983.39358333333,38.5166666666667,7.46458333333333,2,29,120,63,3
"271",22,1492.87891891892,31.1621621621622,5.83108108108108,2,13,74,23,2
"272",21,1735.92105263158,28.7368421052632,5.64473684210526,1,5,19,6,3
"273",22,1959.99016483516,37.6703296703297,7.36401098901099,3,26,182,75,3
"274",22,1984.27278688525,35.5737704918033,7.30122950819672,2,28,122,47,3
"275",22,1776.82940919037,33.4124726477024,7.00492341356674,4,60,914,214,3
"276",22,1833.03599496222,37.8010075566751,8.03400503778338,2,45,397,137,3
"277",23,1501.39592920354,31.2389380530973,6.1283185840708,3,21,113,67,2
"278",22,1814.61446428571,47.2142857142857,8.1875,2,17,56,28,3
"279",23,1368.07612244898,27.8163265306122,6.09183673469388,3,8,49,20,2
"280",21,1943.39512295082,41.0122950819672,7.01229508196721,2,18,244,50,3
"281",23,1500,31.2857142857143,5.21428571428571,1,4,7,4,2
"282",22,1764.8945691906,33.6906005221932,6.86227154046997,5,57,766,196,3
"283",22,1440.45138157895,31.9473684210526,5.96875,4,28,152,63,2
"284",24,1450.93333333333,37.4,6.01666666666667,2,2,15,8,2
"285",19.5,1077.5,16.25,3.25,1,1,4,2,4
"286",24,1355.86185185185,28.6666666666667,5.41666666666667,2,8,27,24,2
"287",23,1391.97714285714,29.9285714285714,5.08928571428571,2,5,14,7,2
"288",22,1699.47611111111,37.0555555555556,6.39583333333333,2,10,36,14,3
"289",21.5,1156.25,60,6.25,1,2,2,1,4
"290",25,1788.59375,24.5,5.09375,1,3,8,4,3
"291",24,1700,34,4,1,1,1,1,3
"292",21,1235,60,9.5,1,1,1,1,4
"293",23,1375.83333333333,32.8333333333333,7.25,2,2,6,2,2
"294",22,2289.70315789474,35.2421052631579,7.30789473684211,2,24,95,39,1
"295",21,1765.08909090909,35.6060606060606,6.24242424242424,2,10,33,20,3
"296",21,1933.82666666667,26,4.08333333333333,2,3,6,3,3
"297",22,1653.62306666667,33.2133333333333,6.93222222222222,2,40,225,87,3
"298",21,2920.61666666667,40.7333333333333,9.65833333333333,2,8,30,14,1
"299",22,1960.3311627907,37.453488372093,7.59108527131783,4,40,258,105,3
"300",22,1663.34615384615,30.1153846153846,5.79807692307692,3,13,26,11,3
"301",23,1777.52855670103,35.9072164948454,7.65979381443299,2,24,97,50,3
"302",21,1181.46357142857,32.5357142857143,5.08928571428571,2,7,28,12,4
"303",22,1921.17965957447,35.1574468085106,6.63191489361702,2,46,235,104,3
"304",22,1324.83,26,5.67307692307692,2,7,13,9,2
"305",21,1523.63451612903,38.8193548387097,6.91612903225806,2,26,155,57,2
"306",29,672.39,30,4.25,1,2,2,2,4
"307",20,2294.15142857143,51,7.82142857142857,2,5,7,5,1
"308",21.5,1860.65625,35.575,6.28125,2,14,40,7,3
"309",21,864.117647058824,29.7058823529412,3.69117647058824,2,6,17,9,4
"310",20,4250,60,11,1,1,1,1,1
"311",22,2028.39931034483,32.9224137931034,6.67025862068965,3,20,116,49,3
"312",23,2232.80241935484,34.741935483871,7.70564516129032,2,18,62,24,1
"313",22,2485.95588235294,44.7058823529412,8.98529411764706,2,8,17,8,1
"314",22,2163.181375,34.6125,6.9875,2,18,80,31,1
"315",22,2022.56188481675,38.8219895287958,8.53010471204188,3,30,191,69,3
"316",21,1545.11627906977,36.093023255814,7.2906976744186,2,16,43,19,2
"317",23,1000,16.5,3,2,2,2,2,4
"318",22,1598.87152173913,33.5434782608696,6.27173913043478,2,15,46,20,3
"319",21,2426.40625,51.375,7.03125,2,1,8,7,1
"320",22,2357.025078125,35.953125,7.203125,2,31,128,60,1
"321",21.5,1299.45777777778,40.1111111111111,6.78472222222222,2,13,36,16,2
"322",22,1144.40131944444,35.0555555555556,5.05902777777778,2,17,144,42,4
"323",23,1769.63962962963,31.8148148148148,6.32407407407407,2,15,54,26,3
"324",22,1899.56890710383,33.3032786885246,7.17281420765027,3,53,366,138,3
"325",23,1642.27541666667,36.9583333333333,6.29166666666667,2,4,24,17,3
"326",22,1515.375,33.1666666666667,7.25,2,2,12,8,2
"327",21.5,1575,17.25,5.5,1,2,4,2,2
"328",23.5,2516.5,45,10,1,1,2,1,1
"329",22,1884.11320512821,37.2435897435897,6.8349358974359,2,27,156,55,3
"330",21,2177.1472,35.68,7.01666666666667,3,22,75,34,1
"331",21.5,1134.17,27.6666666666667,6.16666666666667,2,2,6,6,4
"332",23.5,1961.04125,29.25,5.9375,2,3,8,5,3
"333",21.5,1623.24820512821,33.8205128205128,6.16987179487179,2,19,78,38,3
"334",21,740.833333333333,24.8333333333333,4.45833333333333,2,2,6,4,4
"335",21,1459.29513513514,32.8648648648649,5.72972972972973,2,14,37,17,2
"336",38,1283.805,30,4.5,1,1,1,1,2
"337",23,1512.30769230769,24.7692307692308,5.23076923076923,1,5,13,6,2
"338",21,2284.846,38.4666666666667,7.46666666666667,2,11,45,23,1
"339",22,1759.52792929293,37.8080808080808,7.22727272727273,2,39,198,83,3
"340",20,1281.66666666667,38.9444444444444,7.61111111111111,1,3,18,7,2
"341",22,1709.06666666667,35.9333333333333,7.05,2,7,15,12,3
"342",21,1873.33333333333,69,5.33333333333333,2,2,3,2,3
"343",22,1899.76398648649,34.9189189189189,6.48141891891892,3,33,148,63,3
"344",23,1499.58125,24.275,5.63125,2,11,40,12,2
"345",22,2414.6,38.85,6.85,2,8,20,9,1
"346",21,1682.03947368421,41.2631578947368,7.93421052631579,2,7,19,8,3
"347",21,1862.21229508197,34.8196721311475,6.91120218579235,3,33,183,80,3
"348",22.5,2181.33333333333,47,7.33333333333333,2,1,6,6,1
"349",25,1120,20,5.66666666666667,2,3,3,3,4
"350",21,1743.05980582524,33.1165048543689,6.92233009708738,3,25,103,35,3
"351",22,1259.4068,45,7,2,3,25,13,2
"352",22,2042.11882629108,36.3474178403756,6.57042253521127,3,26,213,70,3
"353",23,2279.87023809524,35.7380952380952,7.75,2,16,42,28,1
"354",22,1800.44912181303,35.3229461756374,7.34490084985836,3,46,353,138,3
"355",21,1732.19680851064,33.4042553191489,6.5531914893617,2,14,47,27,3
"356",25,1099.1,34,5.1,3,2,5,5,4
"357",23,660,15,5,1,1,1,1,4
"358",21.5,2453.90625,35.25,6.28125,2,5,8,5,1
"359",21,1708.74583333333,32.5833333333333,5.20833333333333,2,4,12,6,3
"360",22.5,1274.19642857143,38.5714285714286,6.44642857142857,2,8,14,8,2
"361",22,1248.46739130435,31.9130434782609,5.14130434782609,2,12,23,10,2
"362",22,1623.86111111111,27.8333333333333,5.61111111111111,2,11,54,21,3
"363",21,1900.83333333333,20.3333333333333,6.16666666666667,1,2,3,2,3
"364",21,1941.86476190476,31.9047619047619,5.63095238095238,2,9,21,9,3
"365",22,2041.85985507246,33.731884057971,6.91123188405797,3,33,138,62,3
"366",22,2220.89428571429,38.0285714285714,7.49285714285714,2,16,35,17,1
"367",22,1721.29744755245,34.527972027972,6.70541958041958,3,44,286,121,3
"368",21,1371.875,46.5,8.4375,2,2,4,3,2
"369",22,2124.42481012658,38.3544303797468,6.92405063291139,3,23,79,39,1
"370",22,2192.70243589744,37.3589743589744,7.41666666666667,3,25,78,37,1
"371",24,1647.99565217391,38.1739130434783,6.08695652173913,2,4,23,15,3
"372",22,1755.04333333333,38.0902777777778,7.13107638888889,3,37,288,112,3
"373",23,1780.93077777778,37.7222222222222,7.70833333333333,2,17,90,29,3
"374",24,1574.96590909091,37.6818181818182,6.96590909090909,2,4,22,16,2
"375",22,2066.63888888889,36.7777777777778,7.33333333333333,3,3,9,8,3
"376",22,1621.8587,37.38,6.47,2,29,100,44,3
"377",23,2016.84384615385,31.3076923076923,5.92307692307692,2,10,13,9,3
"378",21,1290.4832,29.12,4.36,2,3,25,12,2
"379",25,1258,30,5,1,1,1,1,2
"380",23,1990.1647761194,38.5223880597015,8.19402985074627,2,6,67,36,3
"381",21,902.003333333333,18.6666666666667,4.66666666666667,2,2,3,3,4
"382",21,1276.5,20.3333333333333,4.80555555555556,2,3,9,5,2
"383",22,1842.60418367347,32.484693877551,6.7640306122449,2,45,196,93,3
"384",23,2119.202,43.4,8.2,2,2,5,5,1
"385",22,2528.31818181818,49.7272727272727,8.79545454545454,1,3,11,8,1
"386",23,1849.86666666667,40.2666666666667,6.1,2,2,15,12,3
"387",21,1949.17921875,32.84375,6.265625,2,11,32,16,3
"388",21,3746.25,45,10.125,1,1,2,1,1
"389",21,1936.98462585034,37.421768707483,7.5640589569161,3,40,441,152,3
"390",22,2029.29413793103,34.3448275862069,5.64655172413793,2,8,29,8,3
"391",21,2499.68695652174,40.2608695652174,6.81521739130435,2,10,23,12,1
"392",23.5,878.75,15,2.875,2,1,2,2,4
