"HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES"
"D  MANNHEI02",22,1653,44.5384615384615,6.96153846153846,2,4,13,10
"D  MANNHEI03",22,1483,30.7142857142857,5.71428571428571,2,4,7,5
"D  MANNHEI08",21,1502.25,30,5.78125,2,10,32,14
"D  MANNHEI09",21,1571.208,30,4.4,1,2,5,2
"D  MARBURG01",22,2216.72829931973,41.5510204081633,7.57993197278912,2,30,147,60
"D  MERSEB02",22,1064.72571428571,20.8571428571429,4.28571428571429,1,6,7,4
"D  MITTWEI01",22,1361.96428571429,33.9285714285714,4.96428571428571,2,7,14,8
"D  MOSBACH01",21,859.712857142857,31.6428571428571,4.05357142857143,2,5,14,6
"D  MULHEIM01",20,4065.75,62,10.25,2,2,3,1
"D  MUNCHEN01",22,1821.31356573705,33.7430278884462,6.81573705179283,3,49,502,178
"D  MUNCHEN02",23,1810.23375394322,36.3864353312303,7.60212933753943,5,48,634,165
"D  MUNCHEN03",23.5,1622.65,38.4,6.625,2,1,10,9
"D  MUNCHEN04",22,1579.33088235294,36.7058823529412,6.19852941176471,2,8,34,23
"D  MUNCHEN06",22,1403.35242857143,34.8785714285714,6.66071428571429,2,27,140,60
"D  MUNCHEN07",25,1453.39285714286,23.1428571428571,5.25,2,3,7,5
"D  MUNCHEN08",21,2350.64727272727,14.5454545454545,4.63636363636364,1,5,11,5
"D  MUNCHEN10",22,1095.99764705882,35.2352941176471,6.42647058823529,2,10,17,9
"D  MUNCHEN11",21,1361.50735294118,42.0882352941176,7.67647058823529,2,4,34,13
"D  MUNCHEN12",21,1075.85941176471,33.3823529411765,4.63970588235294,3,6,34,11
"D  MUNCHEN13",20,1811.875,37.75,7.875,2,4,8,3
"D  MUNSTER01",22,1648.21840425532,37,6.94769503546099,3,41,282,124
"D  MUNSTER02",22,2147.57419753086,39.7037037037037,8.12962962962963,2,23,81,31
"D  MUNSTER05",22,1352.23692307692,35.0769230769231,5.42307692307692,2,3,13,7
"D  NEUBRAN02",21.5,1284.015,30,4.3125,2,2,4,2
"D  NIENBUR01",22,1050,15,3,1,1,1,1
"D  NORDHAU01",21,1891.33333333333,29,4.83333333333333,1,2,3,3
"D  NURNBER01",23.5,1601.33333333333,30.8333333333333,6.29166666666667,2,1,6,4
"D  NURNBER02",22,1244.60083333333,32.5,6.45833333333333,2,18,48,28
"D  NURNBER04",21,2476.01333333333,31.3333333333333,8,2,1,3,3
"D  NURTING01",21,1848.81818181818,27.7272727272727,7,2,7,11,8
"D  OESTRIC01",21,1316.76362745098,38.2058823529412,5.80882352941176,2,12,102,44
"D  OFFENBA01",23,1711.875,14.5,8.8125,2,3,4,4
"D  OFFENBU01",23,2799.1,39.36,7.92,2,10,25,10
"D  OLDENBU01",22,2163.11486486487,39.7837837837838,7.68918918918919,2,22,37,25
"D  OSNABRU01",21,2072.74457831325,38.9638554216867,7.39759036144578,3,24,83,44
"D  OSNABRU02",22,1452.64162162162,37.1621621621622,6.9527027027027,2,20,74,28
"D  PADERBO01",22,1855.69145985401,35.8686131386861,6.99270072992701,2,24,137,44
"D  PASSAU01",22,1636.13590604027,35.9127516778523,6.93456375838926,2,20,149,47
"D  PFORZHE01",21,1466.40575342466,37.8493150684931,6.28767123287671,3,10,73,29
"D  Potsdam01",21.5,1210,23,5.5,1,2,2,1
"D  POTSDAM01",22,1784.35805429864,34.2533936651584,6.91289592760181,4,36,221,105
"D  POTSDAM02",24,2096.56,32,7.4,2,3,5,4
"D  POTSDAM03",23.5,1568.625,35.75,6.575,2,8,20,10
"D  RAVENSB01",22,1751.21739130435,34.7826086956522,5.76086956521739,2,13,23,13
