"HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES"
"F  CAEN05",24,958.333333333333,14.3333333333333,4.16666666666667,2,4,6,3
"F  CAEN20",41,2465,45,7,1,2,2,2
"F  CANNES03",21,1786,40,9.5,1,1,1,1
"F  CASTRES03",22,2864.42307692308,35.1538461538462,7.01923076923077,2,5,13,7
"F  CERGY-P01",23,2025,45,6.125,2,2,2,2
"F  CERGY-P06",23,2948,30,5.5,1,1,1,1
"F  CERGY-P07",21,3887.5,39,8,1,2,2,2
"F  CERGY-P09",24.5,1725,7.5,9,1,2,2,2
"F  CERGY01",23,1020.64,35.1428571428571,5.71428571428571,2,5,7,6
"F  CERGY03",22,981.005340909091,29.5227272727273,4.40909090909091,2,6,88,21
"F  CERGY05",21,1559.53333333333,31.5555555555556,4.91111111111111,2,9,45,17
"F  CERGY07",22,1554.36459770115,35.6551724137931,6.52011494252874,4,22,87,43
"F  CERGY08",20,1040,52.75,8,1,1,4,1
"F  CHAMBER01",21,1752.04730519481,34.9805194805195,6.375,4,34,154,70
"F  CHAMBER07",23,2267.14285714286,31.3928571428571,6.45535714285714,2,5,28,10
"F  CHATENA02",22,2280.36150684931,41.3972602739726,8.1027397260274,2,19,73,29
"F  CLERMON01",22,2467.20461538462,39.1538461538462,7.03846153846154,2,7,39,16
"F  CLERMON02",21,1731.50145695364,29.2185430463576,6.04304635761589,3,26,151,65
"F  CLERMON09",22,1634.41632653061,36.7142857142857,6.63775510204082,3,9,49,23
"F  CLERMON10",23,3135.78125,46.6875,9.234375,1,2,16,6
"F  CLERMON22",21,1267.384,48,8,2,3,5,4
"F  CLERMON25",24,936.666666666667,36.3333333333333,6.66666666666667,2,2,9,4
"F  COMPIEG01",23,1715.49479166667,27.9791666666667,6.578125,2,11,48,22
"F  CORTE01",21,1259.59444444444,26.7222222222222,6.05555555555556,2,8,18,9
"F  COURBEV04",22,1378.86956521739,30.4347826086957,4.97826086956522,2,6,23,11
"F  DIJON01",22,2153.58026923077,33.8,6.30961538461538,5,40,260,86
"F  DIJON11",22,1285.3709375,32.71875,4.44921875,2,12,64,25
"F  DIJON13",21,1028.45555555556,28.8888888888889,5.41666666666667,2,4,9,5
"F  DIJON30",20,3422.5,45,9.25,1,1,1,1
"F  DOUAI10",21,2782.01333333333,47.3333333333333,7.33333333333333,2,2,3,2
"F  DUNKERQ09",22,1548.72769230769,39.5961538461538,6.70673076923077,2,14,52,25
"F  EPERON01",24,1213.33333333333,47.6666666666667,9.33333333333333,1,1,3,2
"F  EVRY01",22,1865.8156097561,33.219512195122,5.31707317073171,2,12,41,17
"F  EVRY04",22,1215.53571428571,28.7142857142857,7.33928571428571,2,6,14,5
"F  GIF-YVE01",22,50,80,12,1,1,1,1
"F  GIF-YVE02",23,1583.91047619048,41.9047619047619,8.92857142857143,2,4,21,10
"F  GRENOBL01",23,1911.14502463054,34.4729064039409,7.20812807881773,2,31,203,106
"F  GRENOBL02",22,1842.3575483871,38.0516129032258,6.72096774193548,2,26,155,69
"F  GRENOBL03",21,2043.69979865772,33.993288590604,6.86409395973154,2,16,149,49
"F  GRENOBL16",22,1842.668,41.04,7.09,2,3,25,16
"F  GRENOBL21",22,1563.87411111111,37.2888888888889,5.32222222222222,2,6,90,46
"F  GRENOBL22",23,1841.72552447552,37.7202797202797,6.96153846153846,2,22,143,43
"F  GRENOBL23",21,1960.07852941176,39.4117647058824,6.37867647058824,2,8,68,33
"F  GRENOBL38",21.5,801.01,30,3,1,1,2,1
"F  GRENOBL45",20,1941.4,31,5.05,2,3,5,4
"F  GUER01",22,1709,22.6666666666667,4.25,1,4,6,3
"F  ILLKIRC04",19.5,780,39,6,1,1,2,1
"F  ISSY-MO02",22,1498.125,30.4166666666667,5.14583333333333,2,3,12,7
"F  JOUY-JO02",23,1263.58202531646,33.1518987341772,5,2,12,79,23
"F  LA-RO-Y06",22,1163.55,10,3.25,1,1,1,1
"F  LA-RO-Y09",26,1068.02,30,4,1,1,1,1
"F  LA-ROCH07",21,1599.80978333333,36.9416666666667,5.8375,3,13,120,35
"F  LA-ROCH08",22,1584.5053125,30.15625,7.0234375,2,13,32,19
"F  LA-ROCH09",23,1394.85769230769,35.4615384615385,5.34615384615385,2,5,13,6
"F  LAROCHE01",20,3545,41.25,7.5,2,3,4,4
"F  LE-HAVR04",22,1805.87715909091,41.5227272727273,6.44034090909091,2,11,88,33
"F  LE-HAVR11",22,2669.6171875,45.15625,7.578125,2,15,32,21
"F  LE-MANS01",22,1959.32803030303,35.3939393939394,6.75757575757576,3,18,66,23
"F  LE-MANS16",23,1460.5,26,5,1,1,3,1
"F  LEVALLO01",22,1080.86777777778,35.8888888888889,6.58333333333333,2,2,9,6
"F  LEVALLO06",19,1572.5,0,4.25,1,1,1,1
"F  LILLE01",22,2044.19722891566,36.355421686747,6.81024096385542,2,36,166,70
"F  LILLE02",22,1929.24527363184,38.7164179104478,6.69029850746269,2,22,201,74
"F  LILLE03",21,1597.07042635659,32.4496124031008,6.21705426356589,2,22,258,97
"F  LILLE11",22,1709.40476,33.276,5.975,3,32,250,83
"F  LILLE13",22,3283.75,60,8.875,1,1,2,1
"F  LILLE14",22,1688.74615384615,41.1538461538462,9.63461538461539,2,4,13,6
"F  LILLE15",22,1172.65404371585,27.0327868852459,4.39890710382514,2,13,183,55
"F  LILLE16",23,1513.80434782609,45.4347826086956,7.73913043478261,3,6,23,9
"F  LILLE25",23,2012.18714285714,37.1071428571429,7.45535714285714,3,3,28,17
"F  LILLE71",20,920,30,5,1,1,1,1
"F  LILLE79",20,1839.74222222222,49.1111111111111,7.66666666666667,2,2,9,3
"F  LILLE86",22,390,0,3,1,1,2,1
"F  LIMOGES01",22,1687.96369230769,30.2153846153846,5.83076923076923,1,15,65,31
"F  LIMOGES05",25,1421.25,38.5,4.5,1,2,2,2
"F  LONGUEN03",21,1700,22.6666666666667,3.5,1,2,3,2
"F  LYON01",23,1696.25892682927,33.9414634146341,6.86463414634146,3,29,205,81
"F  LYON02",21,1795.23956772334,37.671469740634,6.68804034582133,4,36,347,103
"F  LYON03",22,1839.84336614173,36.505905511811,6.48031496062992,3,31,508,138
"F  LYON10",22,1383.86459259259,36.1777777777778,5.18148148148148,2,19,135,49
"F  LYON101",23,2080,30,4,1,1,1,1
"F  LYON102",21,2210,25,4.25,1,1,1,1
"F  LYON103",22,1834.81571428571,23.9142857142857,6.78571428571429,1,10,35,16
"F  LYON104",23,1618.62,36.7037037037037,7.28703703703704,1,6,27,13
"F  LYON106",23,1451.852,37.4666666666667,7.4,1,2,15,8
"F  LYON108",21,1925.35714285714,37.1428571428571,4.96428571428571,2,1,7,2
"F  LYON11",22,1788.83266666667,42.3666666666667,8.975,1,8,30,9
"F  LYON12",22,1847.10433070866,41.5748031496063,8.01574803149606,2,19,127,40
"F  LYON13",23,920,13,4,1,1,1,1
"F  LYON15",23,1464.31166666667,40.5833333333333,8.64583333333333,2,5,12,6
"F  LYON17",23.5,2235.67,40,6.875,1,2,2,2
"F  LYON23",24,1127.07591397849,26.0967741935484,3.95967741935484,2,8,93,30
"F  LYON24",23,1812.00230769231,35.6153846153846,6.07692307692308,2,2,13,11
"F  Lyon25",22,1821.44,22.5,5,1,1,2,1
"F  LYON25",22,1726.61666666667,38.7333333333333,7.16666666666667,2,2,30,16
"F  LYON33",20,422.5,18,3.25,1,1,1,1
"F  LYON43",23,1198.33333333333,38,7.25,1,2,6,4
"F  Lyon58",23,1500,30,5,1,1,1,1
"F  LYON58",22.5,1722,35,5.35416666666667,2,5,12,8
"F  LYON61",22,1895.04108695652,35.6195652173913,6.38315217391304,2,11,92,37
"F  LYON62",21,1107.08049180328,22.2786885245902,4.40573770491803,2,9,61,19
"F  LYON71",22,1510.54926829268,42.9024390243902,6.78048780487805,2,9,41,18
"F  LYON78",21,979.016666666667,23.3333333333333,3.66666666666667,1,1,3,1
"F  LYON82",21,1100,30,5,1,1,1,1
"F  LYON84",21.5,1065,18,3.5,1,2,2,2
"F  MAISONS01",22,1719.493,40.75,7,2,2,20,12
"F  MARSEIL06",22,1821.66666666667,34.3333333333333,5.25,2,6,9,3
"F  MARSEIL10",22.5,1919.5,30,3.75,2,2,2,2
"F  MARSEIL11",25,1142.5,13.6666666666667,7.66666666666667,1,2,3,3
"F  MARSEIL17",23,1932.7619047619,47.4285714285714,8.45238095238095,1,3,21,11
"F  Marseil51",24,1500,30,5,1,1,1,1
"F  MARSEIL51",24,1909.95428571429,28.952380952381,6,3,4,21,17
"F  MARSEIL55",21.5,1735.284,24.9333333333333,6.2,2,6,60,24
"F  MARSEIL56",21,1171.375,30,4,1,1,2,1
"F  MARSEIL57",22,700.336666666667,30,4.33333333333333,2,2,3,2
"F  MARSEIL59",22,780,60,6,1,1,1,1
"F  MARSEIL81",20,2144,28,4,1,1,3,1
"F  MARSEIL82",21.5,1251.25,52.5,9.625,1,2,2,1
"F  MARSEIL83",23,2588.66666666667,39,4.91666666666667,1,2,3,2
"F  MARSEIL84",22,1484.29144578313,34.4120481927711,6.35180722891566,4,52,415,128
"F  MARSEIL89",21,3700,60,10,1,1,1,1
"F  MARSEIL94",22,1291.94128,26.944,4.526,2,12,125,34
"F  METZ05",22,928.214285714286,27.8571428571429,4.96428571428571,2,2,7,3
"F  METZ26",23,1380,17.8,6,1,1,5,1
"F  METZ28",22,390,20,3,1,1,1,1
"F  METZ32",23,2306.6,30.3333333333333,4.83333333333333,1,2,3,2
"F  MONTPEL01",22,1540.652,35.1217391304348,6.28913043478261,2,23,230,86
"F  MONTPEL02",22,1515.35021582734,30.0287769784173,5.8273381294964,3,32,139,69
"F  MONTPEL03",21,1780.88272727273,33.763085399449,6.25550964187328,3,35,363,107
"F  MONTPEL08",22,1774.06235294118,34.4117647058824,7.23529411764706,2,5,17,12
"F  MONTPEL10",23.5,1585.15277777778,30.4444444444444,6.69444444444444,2,7,18,12
"F  MONTPEL12",21,487.5,18,3.75,1,1,1,1
"F  MONTPEL13",22,2183.74861111111,37.287037037037,7.45833333333333,2,12,108,40
"F  MONTPEL14",22,1947.96925,34.975,7.33125,2,2,40,27
"F  MONTPEL36",22,650,24,5,1,1,1,1
"F  MONTPEL44",23,1137.5,39.4,8.75,1,2,5,2
"F  MONTPEL48",23,2971,45,4.75,1,1,2,1
"F  MONTPEL51",23,390,0,3,1,1,2,1
"F  MONTPEL52",20.5,1262.5,32.5,5,1,2,2,2
"F  MULHOUS01",22,2068.61691176471,42.3970588235294,7.34558823529412,3,14,68,30
"F  NANCY05",24,880,32,4,1,1,1,1
"F  NANCY12",21.5,1699.5,26.2,5.425,1,7,10,6
"F  NANCY21",20,875.26,35,4.625,1,2,2,2
"F  NANCY37",23,1090.1598,23.36,4.845,3,6,50,14
"F  NANCY38",23,1201.4375,49,8.078125,1,4,16,5
"F  NANCY41",20,390,30,3,1,1,1,1
"F  NANCY42",23,2383.33333333333,30.6666666666667,4.83333333333333,1,2,3,2
"F  NANCY43",22,1598.14756302521,32.6078431372549,6.16736694677871,3,51,357,130
"F  Nantes01",23,4095,60,8.75,1,2,2,1
"F  NANTES01",22,1664.546,36.1228571428571,6.14357142857143,2,41,350,108
"F  NANTES07",23,1588.34707317073,35.8292682926829,8.23780487804878,2,7,41,17
"F  NANTES09",24,500,20,4.75,1,2,2,2
"F  NANTES12",22,1038.49255813953,27.5116279069767,4.45348837209302,2,5,43,14
"F  NANTES13",22,1764.99305555556,43.6666666666667,8.01388888888889,2,3,36,17
"F  NANTES34",23,2042.5,34,5.65,2,3,5,4
"F  NANTES39",24,805,20,3.5,1,1,1,1
"F  NANTES43",21,1225.77173913043,29.7826086956522,4.18478260869565,2,5,23,16
"F  NANTES62",20,2166.66666666667,8.33333333333333,4.16666666666667,1,2,3,1
"F  NANTES65",22,1718.08333333333,32.0833333333333,8,1,4,12,8
"F  NICE01",22,1604.13225433526,28.2052023121387,6.38005780346821,5,42,346,125
"F  NICE09",26,1692.25,30,5.875,1,2,4,4
"F  NIMES10",20,1386.698,31.2,5,1,2,5,1
"F  NIMES15",22,1385.94,32.8,6.7,1,2,5,4
"F  NIMES17",21,1401.11111111111,48.3333333333333,8.38888888888889,1,6,9,3
"F  NOISY02",23.5,1069.95,30.2,5.825,2,5,10,4
"F  NOISY04",22,2000,30,6,1,1,1,1
"F  NOUMEA03",22,1949.01,23.4615384615385,5.65384615384615,1,6,13,5
"F  ORLEANS01",22,2210.79390243902,36.8536585365854,6.46036585365854,4,35,164,61
"F  ORLEANS07",21,1100,23,5,1,1,1,1
"F  ORLEANS13",21,2247.786,20.56,6.67,3,4,25,11
"F  ORSAY02",24,1324.95,30,5,1,1,1,1
"F  PALAISE01",22,1744.66,43.6666666666667,7.52380952380952,2,12,21,11
"F  PARIS001",22,1716.59262773723,32.705596107056,6.8029197080292,4,31,411,106
"F  PARIS002",22,1747.26125714286,35.5314285714286,6.85142857142857,3,14,175,50
"F  PARIS003",22,1675.30504983389,33.3455149501661,6.66362126245847,4,25,301,125
"F  PARIS004",22,1773.09128158845,32.6245487364621,6.75992779783394,4,31,554,137
"F  PARIS005",22,1647.7575088968,31.44128113879,6.58274021352313,4,34,281,99
"F  PARIS006",23,1643.99054794521,30.0502283105023,6.50570776255708,2,29,219,92
"F  PARIS007",22,1797.86042801556,31.3268482490272,6.93093385214008,3,28,257,94
"F  PARIS008",22,1604.82820754717,34.8160377358491,6.64268867924528,2,28,212,68
"F  PARIS009",22,1446.10736607143,34.9241071428571,5.95424107142857,3,20,224,65
"F  PARIS010",22,1638.56821052632,34.05,6.74934210526316,2,37,380,124
"F  Paris011",22,1319.84666666667,40,6.41666666666667,1,1,3,1
"F  PARIS011",22,1870.23360465116,36.8604651162791,7.7281976744186,3,29,172,70
"F  PARIS012",22,1731.744,32.9291666666667,6.31979166666667,3,34,240,93
"F  PARIS013",22,1692.80588235294,31.6470588235294,5.82773109243697,2,27,119,68
"F  PARIS014",21,1888.82889320388,34.2485436893204,6.10922330097087,3,25,515,115
"F  PARIS026",21.5,1913.2525,34.25,5.84375,2,4,8,7
"F  PARIS032",26,1655.5,23,3.5,1,1,1,1
"F  PARIS035",23,1108.21,34.25,5.75,2,2,4,3
"F  PARIS037",22,1354.236,30.6666666666667,4.25,2,4,15,8
"F  PARIS047",22,1300,30,10,1,1,2,1
"F  PARIS052",21,1513.07465517241,32.1896551724138,5.96551724137931,2,17,58,28
"F  PARIS054",23,2074.09181818182,32.7727272727273,6.55681818181818,1,4,22,13
"F  PARIS056",24,1764,30,4.5,1,2,2,1
"F  PARIS057",24,1873.4,28.15,6.4,1,7,20,15
"F  PARIS062",23,2207.1252688172,47.4301075268817,8.28494623655914,2,12,93,23
"F  PARIS063",22,1405.744,43.6,6.7,2,3,5,4
"F  PARIS064",21.5,2708.83333333333,55.3333333333333,9.04166666666667,2,3,6,3
"F  PARIS066",25,1561.52666666667,40,6.5,2,2,3,3
"F  PARIS068",23,1682.46342857143,44.6285714285714,8.34285714285714,2,6,35,15
"F  PARIS077",23,1399.105,28.25,5.8125,1,6,8,8
"F  PARIS080",23,1889,38.2,9.075,2,4,10,6
"F  PARIS081",22,1503.27272727273,30.5454545454545,7.02272727272727,2,6,11,8
"F  PARIS083",23,2010.82210526316,47.5789473684211,9.63157894736842,3,4,38,13
"F  PARIS085",22,2249.40625,41.7083333333333,10.0677083333333,3,5,48,15
"F  PARIS086",23,1628.26923076923,44.6153846153846,9.67307692307692,1,3,13,5
"F  PARIS087",22.5,2011.85041666667,26.5833333333333,6.80208333333333,1,12,24,13
"F  PARIS089",21.5,660,27.5,3,1,1,2,1
"F  PARIS092",24,1998,57,10,1,1,1,1
"F  PARIS100",23,1476.29948275862,32.3103448275862,4.69396551724138,2,9,58,20
"F  PARIS104",22,1116.33086330935,30.4172661870504,4.41906474820144,2,17,139,46
"F  PARIS105",21,1568.81,39.0782608695652,6.19782608695652,3,14,115,41
"F  PARIS109",22.5,3283.75,45,8.875,1,2,2,1
"F  PARIS110",22.5,1457,34.5,4.5,1,2,2,2
"F  PARIS113",23,1215.27777777778,33.6666666666667,5.02777777777778,2,4,9,7
"F  PARIS116",23,1620.358125,38.5,5.9375,2,5,16,13
"F  Paris117",25.5,1800,24,6,1,1,2,1
"F  PARIS117",22,1298.55029411765,37.1764705882353,6.83823529411765,2,10,34,17
"F  PARIS119",23,2254.34194444444,45.8888888888889,8.28472222222222,2,3,36,24
"F  PARIS121",23,2009.506,50.8666666666667,6.86666666666667,2,2,15,9
"F  PARIS126",22.5,2135.97273809524,35.9880952380952,8.19940476190476,1,4,84,42
"F  PARIS129",22,2118.04689655172,38,9.00862068965517,1,2,29,16
"F  PARIS160",21.5,650,36,5,1,1,2,1
"F  PARIS174",22,2353.46,30.5555555555556,6.52777777777778,2,2,9,8
"F  PARIS178",22,2130.62235294118,32.8235294117647,6.96470588235294,2,8,85,41
"F  PARIS190",22.5,2174.2075862069,43.2413793103448,8.24137931034483,1,3,58,27
"F  PARIS213",21,1615.12746666667,36.66,5.91333333333333,2,14,150,48
"F  PARIS215",24,1216.8475,22.5,4.8125,2,3,4,3
"F  PARIS222",28,1001.66666666667,34,6.16666666666667,1,3,3,3
"F  PARIS225",22,1439.604,34,6.74166666666667,2,24,60,29
"F  PARIS226",22,933.388888888889,32.3333333333333,4.80555555555556,2,4,9,7
"F  PARIS244",22,1336.08279503106,32.9503105590062,4.90062111801242,2,12,161,44
"F  PARIS256",22,1334.234,29.6666666666667,4.80333333333333,3,11,75,30
"F  PARIS258",22,767.848484848485,24.6969696969697,3.37878787878788,2,6,33,7
"F  PARIS270",21,1342.99259259259,31.8518518518519,5.39814814814815,3,13,54,15
"F  PARIS294",29,1350,18,4.5,1,1,1,1
"F  PARIS317",26,2057.5,33.5,9,2,2,4,4
"F  PARIS318",22,2060.10952380952,31.3333333333333,8.52380952380952,1,3,21,10
"F  PARIS319",22,1865.59485714286,33.6285714285714,7.40714285714286,1,3,35,21
"F  PARIS322",24,820.833333333333,36.4444444444444,4.86111111111111,1,2,9,2
"F  PARIS323",23,1245.5,26.25,4.25,2,4,8,5
"F  PARIS325",23,1453.15625,18.5,5.46875,2,3,8,7
"F  PARIS326",22,1203.3425,33.25,4.16666666666667,2,4,12,6
"F  PARIS329",20,1857.1875,27.625,4.03125,3,2,8,2
"F  PARIS332",22,1104.42161290323,29.3548387096774,4.66935483870968,2,5,31,9
"F  PARIS342",23,2107.85714285714,37.1428571428571,7.03571428571429,1,3,7,6
"F  PARIS347",22,820,25.75,5,1,3,4,3
"F  PARIS357",20.5,1081,43.8333333333333,5.66666666666667,1,1,6,5
"F  PARIS360",24.5,1454,42,7,2,2,2,2
"F  PARIS361",21,1638.69090909091,34.5454545454545,6.09090909090909,2,3,11,4
"F  PARIS362",21,1246.02,25,4.66666666666667,1,2,3,1
"F  PARIS363",22,825.36,28.2,3.92,2,4,25,6
"F  PARIS365",21,1585.8075,33,5.625,1,2,4,4
"F  PARIS369",24,2156.66666666667,11,10,1,2,3,2
"F  PARIS375",23,880,30,4,1,1,3,1
"F  PARIS376",22.5,1976.5,39.25,6.25,2,2,4,4
"F  PARIS379",21,1140.08961538462,34.2307692307692,5.51282051282051,2,3,78,28
"F  PARIS389",21,1217.03736842105,33.9210526315789,4.46052631578947,2,7,38,15
"F  PARIS398",21,1378.74285714286,46.4285714285714,8.28571428571429,1,1,7,1
"F  PARIS403",24,1235,30,5,2,2,2,2
"F  PAU01",22,1509.52149606299,34.1653543307087,6.53740157480315,2,25,127,55
"F  PAU12",22,1190.50875,28.125,5.65625,2,3,8,6
"F  PAU22",38,650,27,5,1,1,1,1
"F  PERPIGN01",21,1600.29352272727,32.7727272727273,6.00568181818182,2,20,88,34
"F  PERPIGN12",23.5,471.25,16.5,3.625,1,1,2,1
"F  PEZENAS01",29,390,42,3,1,1,1,1
"F  POINT-P05",22,1700.59,25.7560975609756,6.03658536585366,1,12,41,17
"F  POITIER01",22,1739.9093452381,29.952380952381,6.06101190476191,4,37,168,78
"F  POITIER05",23.5,1338.90625,33.125,7.703125,1,2,16,7
"F  POITIER06",21,1274.73,30,4,1,1,1,1
"F  POITIER07",23,1848.2396,31.74,4.98,2,6,50,18
"F  POITIER12",25,2412,40,4.5,1,1,1,1
"F  POITIER29",23,2375,52,9.5,1,1,1,1
"F  PONT-AB01",22,1045.75,21.5,5.875,1,1,4,1
"F  REIMS01",22,1883.98645833333,34.7395833333333,6.7109375,2,27,96,45
"F  REIMS06",22,1494.38570247934,38.1818181818182,6.38429752066116,2,13,121,31
"F  REIMS09",21,455,40,3.5,1,1,1,1
"F  REIMS23",21,1840.725,21.7,5.075,2,6,10,8
"F  RENNES01",22,1841.88484375,40.28125,6.97786458333333,3,31,192,71
"F  RENNES02",21,1401.40565217391,35.4347826086956,6.04830917874396,3,22,207,81
"F  RENNES06",22,4680,60,9,1,1,1,1
"F  RENNES09",22,1993,45,9,1,2,3,3
"F  RENNES10",22,2025.85454545455,46.7727272727273,8.25,2,6,22,9
"F  RENNES14",23,1150,24,5,1,1,1,1
"F  RENNES15",21,1560,30,3.25,1,1,1,1
"F  RENNES16",22,1796.53571428571,52.7857142857143,8.21428571428571,1,3,14,9
"F  RENNES27",22,1385.31324137931,35.8344827586207,5.0448275862069,2,15,145,47
"F  RENNES28",21,2244.52235294118,43.1372549019608,6.6421568627451,2,6,51,30
"F  RENNES32",20,3520.58833333333,60.6666666666667,9.45833333333333,1,2,6,3
"F  RENNES39",23,1435,40.6666666666667,6.33333333333333,2,1,3,3
"F  RENNES43",20.5,1448.385,34.5,5.9375,2,2,4,4
"F  RENNES45",23,675,0,3,1,1,1,1
"F  RENNES47",22,1689.375,23.375,6.21875,1,3,8,5
"F  RENNES49",25,1437.1,23.2,4.7,2,2,5,4
"F  RETHEL01",20,1950,24,3,1,1,4,1
"F  RODEZ09",23,1121.25,60,8.625,1,1,2,1
"F  ROUBAIX03",22,2299.16363636364,29.0909090909091,4.52272727272727,2,4,11,6
"F  ROUBAIX09",23,1223.406,40.2,5.85,1,4,10,8
"F  ROUEN01",22,1958.42754601227,35.0306748466258,7.04601226993865,4,31,163,76
"F  ROUEN06",24.5,1413.015,10,5.875,2,3,4,4
"F  ROUEN07",21,2337.20857142857,34.8571428571429,6.32142857142857,2,4,7,5
"F  ROUEN09",22,1336.77804347826,35.7826086956522,5.625,2,8,92,41
"F  ROUEN19",23,1681.82692307692,44.1923076923077,8.50961538461539,1,2,26,12
"F  ROUEN33",21,1380,0,6,1,1,1,1
"F  SAINT-D01",25.5,2114.5,29,5.5,1,2,2,2
"F  SCEAUX01",23,1335.5,38.1052631578947,6.71052631578947,2,7,19,9
"F  SOPHIA01",22,1319.2898245614,29.859649122807,4.26754385964912,2,10,57,17
"F  ST-DENI01",22,1483.74539325843,32.3483146067416,5.58988764044944,2,24,89,38
"F  ST-ETIE01",22,1741.770125,34.2375,6.65625,2,24,80,36
"F  ST-ETIE05",23,1256.66666666667,57.6666666666667,9.66666666666667,1,2,3,2
"F  ST-ETIE06",24,2175.6,49.8,8.3,2,4,5,4
"F  ST-ETIE08",23,1907.73636363636,51.8181818181818,8.34090909090909,1,3,11,7
"F  ST-ETIE16",21,1695.61210526316,32.8947368421053,5.23684210526316,2,5,19,13
"F  ST-ETIE17",20.5,841.505,27.5,3.66666666666667,2,5,6,4
"F  ST-ETIE18",22,1454.32818181818,36.5454545454545,5.375,3,4,22,16
"F  ST-ETIE24",22,1235,60,9.5,1,1,2,1
"F  ST-OUEN02",23,1794,27,7.8,1,1,5,3
"F  STRASBO07",22,1300,70,10,1,1,1,1
"F  STRASBO12",24,2145,37.6666666666667,8.5,2,2,3,3
"F  STRASBO16",22,1550.256,43.16,7.85,1,2,25,13
"F  STRASBO30",22,1833.62,22.5,6.25,1,2,2,2
"F  STRASBO31",24,2281.31117647059,34.8235294117647,6.51470588235294,2,8,17,12
"F  STRASBO48",22,1839.91310395315,36.6295754026354,6.73901903367496,2,52,683,217
"F  STRASBO51",23,1605.23933333333,37.4,6.08333333333333,2,7,15,14
"F  TAHITI01",23,3117.5,60,7.75,1,1,2,1
"F  TALENCE06",23,1500,0,5,1,1,1,1
"F  TARBES03",22,1304.204,34.65,5.5625,2,5,20,10
"F  TOULON01",21,1646.87615384615,30.4102564102564,6.19230769230769,2,13,39,18
"F  TOULON03",20,3700,60,10,1,1,1,1
"F  TOULON18",22,1100,29,5,1,1,1,1
"F  TOULON19",21,979.016666666667,30,3.66666666666667,1,1,3,1
"F  TOULOUS01",21,1832.45222797927,36.0673575129534,7.01943005181347,3,19,193,70
"F  TOULOUS02",22,1710.03185714286,37.1678571428571,6.45625,2,32,280,103
"F  TOULOUs03",20,3640.88,55.3333333333333,10,1,1,3,1
"F  TOULOUS03",23,1552.74033112583,34.9933774834437,6.83443708609272,3,35,151,68
"F  TOULOUS08",23.5,880,30,4,2,1,2,1
"F  TOULOUS09",22.5,1470.24,22.5,4.3125,1,2,4,3
"F  TOULOUS116",23,780,30,6,1,1,1,1
"F  TOULOUS122",23,2385.71,40,8.5,1,1,1,1
"F  TOULOUS14",23,1563.71844827586,36.448275862069,7.59051724137931,2,17,58,29
"F  TOULOUS16",22,2403.21229166667,45.8541666666667,10.2760416666667,2,5,48,21
"F  TOULOUS17",22,1805.88235294118,46.4705882352941,9.76470588235294,1,2,17,6
"F  TOULOUS18",23,1528.86210526316,32.7894736842105,6.82894736842105,2,5,19,11
"F  TOULOUS19",22,1526.67,21.3333333333333,4.66666666666667,1,2,3,2
"F  TOULOUS22",23,1490.18823529412,48.5882352941176,8.35294117647059,1,2,17,10
"F  TOULOUS23",21,1478.18976744186,31.5658914728682,4.82751937984496,3,9,129,49
"F  TOULOUS24",22,1811.766,46.5,9,1,3,20,11
"F  TOULOUS28",22,1547.23666666667,33.04,6.99,2,19,75,39
"F  TOULOUS32",25,1200,30,6,1,1,1,1
"F  TOULOUS41",21,1282.065,27.625,5.25,1,6,8,6
"F  Toulous48",22,938,29,4,1,1,1,1
"F  TOULOUS48",22,2248.51129032258,41.0645161290323,7.41129032258065,2,6,62,27
"F  TOULOUS50",23,1202.5,52.5,9.25,1,2,6,2
"F  TOURCOI11",28,2350,30,5,1,1,1,1
"F  TOURS01",21,1717.84357723577,36.4308943089431,6.51829268292683,3,29,246,93
"F  TROYES07",22,1488.399,38.96,6.55,2,16,100,48
"F  TROYES08",24,2674.41842105263,37.0526315789474,7.17105263157895,2,9,19,13
"F  VALENCE14",20,1068.02,36,4,1,1,1,1
"F  VALENCI01",22,1883.13909090909,34.8636363636364,6.61931818181818,2,16,44,19
"F  VALENCI14",21.5,1150,30,5,1,1,2,1
"F  VALENCI15",20,0,30,4.75,1,1,1,1
"F  VANNES04",21,1632.23916666667,31.5555555555556,5.43055555555556,2,11,36,16
"F  VAULX-V02",24,1932,29.8,9,1,2,5,5
"F  VERSAIL03",23,1555.122,31.8,6.7,2,2,10,7
"F  VERSAIL05",23,1913.63157894737,39.1578947368421,8.56578947368421,1,3,19,12
"F  VERSAIL11",21,1812.93896103896,33.3116883116883,5.99025974025974,2,19,77,35
"F  XX",21,2228.11382352941,37.3970588235294,6.45220588235294,4,36,272,70
"G  ARTA01",22,1345.05263157895,33.0526315789474,5.23684210526316,1,4,19,4
"G  ATHINE01",22,1590.92411042945,32.5521472392638,6.43558282208589,5,29,163,92
"G  ATHINE02",23,1312.44918918919,34.4054054054054,6.56081081081081,2,7,37,19
"G  ATHINE03",23,1821.23076923077,27.3076923076923,5.30769230769231,2,6,13,8
"G  ATHINE04",22,1302.59884615385,32.0384615384615,4.92884615384615,3,17,130,69
