"","HOST_INSTITUTION_CDE","MEDIAN_AGE","AVERAGE_GRANT_AMOUNT","AVERAGE_ECTS","STUDY_LENGTH","LANGUAGES_TAUGHT","SUBJECTS_TAUGHT","STUDENTS_ARRIVED","CONNECTED_UNIVERSITIES","cluster"
"862","F  BREST21",20,1921.25,12.5,5.125,1,2,4,2,1
"863","F  BRUZ03",25.5,2000,4,5,1,2,2,1,1
"864","F  CACHAN03",23,1428.94444444444,32.3333333333333,6.72222222222222,1,7,9,9,1
"865","F  CACHAN04",22.5,1502.5,42.5,7.25,1,2,2,2,1
"866","F  CAEN01",22,1742.32025806452,34.3677419354839,6.7258064516129,2,26,155,61,2
"867","F  CAEN05",24,958.333333333333,14.3333333333333,4.16666666666667,2,4,6,3,1
"868","F  CAEN20",41,2465,45,7,1,2,2,2,1
"869","F  CANNES03",21,1786,40,9.5,1,1,1,1,1
"870","F  CASTRES03",22,2864.42307692308,35.1538461538462,7.01923076923077,2,5,13,7,1
"871","F  CERGY-P01",23,2025,45,6.125,2,2,2,2,1
"872","F  CERGY-P06",23,2948,30,5.5,1,1,1,1,1
"873","F  CERGY-P07",21,3887.5,39,8,1,2,2,2,1
"874","F  CERGY-P09",24.5,1725,7.5,9,1,2,2,2,1
"875","F  CERGY01",23,1020.64,35.1428571428571,5.71428571428571,2,5,7,6,1
"876","F  CERGY03",22,981.005340909091,29.5227272727273,4.40909090909091,2,6,88,21,1
"877","F  CERGY05",21,1559.53333333333,31.5555555555556,4.91111111111111,2,9,45,17,1
"878","F  CERGY07",22,1554.36459770115,35.6551724137931,6.52011494252874,4,22,87,43,2
"879","F  CERGY08",20,1040,52.75,8,1,1,4,1,1
"880","F  CHAMBER01",21,1752.04730519481,34.9805194805195,6.375,4,34,154,70,2
"881","F  CHAMBER07",23,2267.14285714286,31.3928571428571,6.45535714285714,2,5,28,10,1
"882","F  CHATENA02",22,2280.36150684931,41.3972602739726,8.1027397260274,2,19,73,29,1
"883","F  CLERMON01",22,2467.20461538462,39.1538461538462,7.03846153846154,2,7,39,16,1
"884","F  CLERMON02",21,1731.50145695364,29.2185430463576,6.04304635761589,3,26,151,65,2
"885","F  CLERMON09",22,1634.41632653061,36.7142857142857,6.63775510204082,3,9,49,23,1
"886","F  CLERMON10",23,3135.78125,46.6875,9.234375,1,2,16,6,1
"887","F  CLERMON22",21,1267.384,48,8,2,3,5,4,1
"888","F  CLERMON25",24,936.666666666667,36.3333333333333,6.66666666666667,2,2,9,4,1
"889","F  COMPIEG01",23,1715.49479166667,27.9791666666667,6.578125,2,11,48,22,1
"890","F  CORTE01",21,1259.59444444444,26.7222222222222,6.05555555555556,2,8,18,9,1
"891","F  COURBEV04",22,1378.86956521739,30.4347826086957,4.97826086956522,2,6,23,11,1
"892","F  DIJON01",22,2153.58026923077,33.8,6.30961538461538,5,40,260,86,2
"893","F  DIJON11",22,1285.3709375,32.71875,4.44921875,2,12,64,25,1
"894","F  DIJON13",21,1028.45555555556,28.8888888888889,5.41666666666667,2,4,9,5,1
"895","F  DIJON30",20,3422.5,45,9.25,1,1,1,1,1
"896","F  DOUAI10",21,2782.01333333333,47.3333333333333,7.33333333333333,2,2,3,2,1
"897","F  DUNKERQ09",22,1548.72769230769,39.5961538461538,6.70673076923077,2,14,52,25,1
"898","F  EPERON01",24,1213.33333333333,47.6666666666667,9.33333333333333,1,1,3,2,1
"899","F  EVRY01",22,1865.8156097561,33.219512195122,5.31707317073171,2,12,41,17,1
"900","F  EVRY04",22,1215.53571428571,28.7142857142857,7.33928571428571,2,6,14,5,1
"901","F  GIF-YVE01",22,50,80,12,1,1,1,1,1
"902","F  GIF-YVE02",23,1583.91047619048,41.9047619047619,8.92857142857143,2,4,21,10,1
"903","F  GRENOBL01",23,1911.14502463054,34.4729064039409,7.20812807881773,2,31,203,106,2
"904","F  GRENOBL02",22,1842.3575483871,38.0516129032258,6.72096774193548,2,26,155,69,2
"905","F  GRENOBL03",21,2043.69979865772,33.993288590604,6.86409395973154,2,16,149,49,1
"906","F  GRENOBL16",22,1842.668,41.04,7.09,2,3,25,16,1
"907","F  GRENOBL21",22,1563.87411111111,37.2888888888889,5.32222222222222,2,6,90,46,1
"908","F  GRENOBL22",23,1841.72552447552,37.7202797202797,6.96153846153846,2,22,143,43,1
"909","F  GRENOBL23",21,1960.07852941176,39.4117647058824,6.37867647058824,2,8,68,33,1
"910","F  GRENOBL38",21.5,801.01,30,3,1,1,2,1,1
"911","F  GRENOBL45",20,1941.4,31,5.05,2,3,5,4,1
"912","F  GUER01",22,1709,22.6666666666667,4.25,1,4,6,3,1
"913","F  ILLKIRC04",19.5,780,39,6,1,1,2,1,1
"914","F  ISSY-MO02",22,1498.125,30.4166666666667,5.14583333333333,2,3,12,7,1
"915","F  JOUY-JO02",23,1263.58202531646,33.1518987341772,5,2,12,79,23,1
"916","F  LA-RO-Y06",22,1163.55,10,3.25,1,1,1,1,1
"917","F  LA-RO-Y09",26,1068.02,30,4,1,1,1,1,1
"918","F  LA-ROCH07",21,1599.80978333333,36.9416666666667,5.8375,3,13,120,35,1
"919","F  LA-ROCH08",22,1584.5053125,30.15625,7.0234375,2,13,32,19,1
"920","F  LA-ROCH09",23,1394.85769230769,35.4615384615385,5.34615384615385,2,5,13,6,1
"921","F  LAROCHE01",20,3545,41.25,7.5,2,3,4,4,1
"922","F  LE-HAVR04",22,1805.87715909091,41.5227272727273,6.44034090909091,2,11,88,33,1
"923","F  LE-HAVR11",22,2669.6171875,45.15625,7.578125,2,15,32,21,1
"924","F  LE-MANS01",22,1959.32803030303,35.3939393939394,6.75757575757576,3,18,66,23,1
"925","F  LE-MANS16",23,1460.5,26,5,1,1,3,1,1
"926","F  LEVALLO01",22,1080.86777777778,35.8888888888889,6.58333333333333,2,2,9,6,1
"927","F  LEVALLO06",19,1572.5,0,4.25,1,1,1,1,1
"928","F  LILLE01",22,2044.19722891566,36.355421686747,6.81024096385542,2,36,166,70,2
"929","F  LILLE02",22,1929.24527363184,38.7164179104478,6.69029850746269,2,22,201,74,2
"930","F  LILLE03",21,1597.07042635659,32.4496124031008,6.21705426356589,2,22,258,97,2
"931","F  LILLE11",22,1709.40476,33.276,5.975,3,32,250,83,2
"932","F  LILLE13",22,3283.75,60,8.875,1,1,2,1,1
"933","F  LILLE14",22,1688.74615384615,41.1538461538462,9.63461538461539,2,4,13,6,1
"934","F  LILLE15",22,1172.65404371585,27.0327868852459,4.39890710382514,2,13,183,55,1
"935","F  LILLE16",23,1513.80434782609,45.4347826086956,7.73913043478261,3,6,23,9,1
"936","F  LILLE25",23,2012.18714285714,37.1071428571429,7.45535714285714,3,3,28,17,1
"937","F  LILLE71",20,920,30,5,1,1,1,1,1
"938","F  LILLE79",20,1839.74222222222,49.1111111111111,7.66666666666667,2,2,9,3,1
"939","F  LILLE86",22,390,0,3,1,1,2,1,1
"940","F  LIMOGES01",22,1687.96369230769,30.2153846153846,5.83076923076923,1,15,65,31,1
"941","F  LIMOGES05",25,1421.25,38.5,4.5,1,2,2,2,1
"942","F  LONGUEN03",21,1700,22.6666666666667,3.5,1,2,3,2,1
"943","F  LYON01",23,1696.25892682927,33.9414634146341,6.86463414634146,3,29,205,81,2
"944","F  LYON02",21,1795.23956772334,37.671469740634,6.68804034582133,4,36,347,103,2
"945","F  LYON03",22,1839.84336614173,36.505905511811,6.48031496062992,3,31,508,138,2
"946","F  LYON10",22,1383.86459259259,36.1777777777778,5.18148148148148,2,19,135,49,1
"947","F  LYON101",23,2080,30,4,1,1,1,1,1
"948","F  LYON102",21,2210,25,4.25,1,1,1,1,1
"949","F  LYON103",22,1834.81571428571,23.9142857142857,6.78571428571429,1,10,35,16,1
"950","F  LYON104",23,1618.62,36.7037037037037,7.28703703703704,1,6,27,13,1
"951","F  LYON106",23,1451.852,37.4666666666667,7.4,1,2,15,8,1
"952","F  LYON108",21,1925.35714285714,37.1428571428571,4.96428571428571,2,1,7,2,1
"953","F  LYON11",22,1788.83266666667,42.3666666666667,8.975,1,8,30,9,1
"954","F  LYON12",22,1847.10433070866,41.5748031496063,8.01574803149606,2,19,127,40,1
"955","F  LYON13",23,920,13,4,1,1,1,1,1
"956","F  LYON15",23,1464.31166666667,40.5833333333333,8.64583333333333,2,5,12,6,1
"957","F  LYON17",23.5,2235.67,40,6.875,1,2,2,2,1
"958","F  LYON23",24,1127.07591397849,26.0967741935484,3.95967741935484,2,8,93,30,1
"959","F  LYON24",23,1812.00230769231,35.6153846153846,6.07692307692308,2,2,13,11,1
"960","F  Lyon25",22,1821.44,22.5,5,1,1,2,1,1
"961","F  LYON25",22,1726.61666666667,38.7333333333333,7.16666666666667,2,2,30,16,1
"962","F  LYON33",20,422.5,18,3.25,1,1,1,1,1
"963","F  LYON43",23,1198.33333333333,38,7.25,1,2,6,4,1
"964","F  Lyon58",23,1500,30,5,1,1,1,1,1
"965","F  LYON58",22.5,1722,35,5.35416666666667,2,5,12,8,1
"966","F  LYON61",22,1895.04108695652,35.6195652173913,6.38315217391304,2,11,92,37,1
"967","F  LYON62",21,1107.08049180328,22.2786885245902,4.40573770491803,2,9,61,19,1
"968","F  LYON71",22,1510.54926829268,42.9024390243902,6.78048780487805,2,9,41,18,1
"969","F  LYON78",21,979.016666666667,23.3333333333333,3.66666666666667,1,1,3,1,1
"970","F  LYON82",21,1100,30,5,1,1,1,1,1
"971","F  LYON84",21.5,1065,18,3.5,1,2,2,2,1
"972","F  MAISONS01",22,1719.493,40.75,7,2,2,20,12,1
"973","F  MARSEIL06",22,1821.66666666667,34.3333333333333,5.25,2,6,9,3,1
"974","F  MARSEIL10",22.5,1919.5,30,3.75,2,2,2,2,1
"975","F  MARSEIL11",25,1142.5,13.6666666666667,7.66666666666667,1,2,3,3,1
"976","F  MARSEIL17",23,1932.7619047619,47.4285714285714,8.45238095238095,1,3,21,11,1
"977","F  Marseil51",24,1500,30,5,1,1,1,1,1
"978","F  MARSEIL51",24,1909.95428571429,28.952380952381,6,3,4,21,17,1
"979","F  MARSEIL55",21.5,1735.284,24.9333333333333,6.2,2,6,60,24,1
"980","F  MARSEIL56",21,1171.375,30,4,1,1,2,1,1
"981","F  MARSEIL57",22,700.336666666667,30,4.33333333333333,2,2,3,2,1
"982","F  MARSEIL59",22,780,60,6,1,1,1,1,1
"983","F  MARSEIL81",20,2144,28,4,1,1,3,1,1
"984","F  MARSEIL82",21.5,1251.25,52.5,9.625,1,2,2,1,1
"985","F  MARSEIL83",23,2588.66666666667,39,4.91666666666667,1,2,3,2,1
"986","F  MARSEIL84",22,1484.29144578313,34.4120481927711,6.35180722891566,4,52,415,128,2
"987","F  MARSEIL89",21,3700,60,10,1,1,1,1,1
"988","F  MARSEIL94",22,1291.94128,26.944,4.526,2,12,125,34,1
"989","F  METZ05",22,928.214285714286,27.8571428571429,4.96428571428571,2,2,7,3,1
"990","F  METZ26",23,1380,17.8,6,1,1,5,1,1
"991","F  METZ28",22,390,20,3,1,1,1,1,1
"992","F  METZ32",23,2306.6,30.3333333333333,4.83333333333333,1,2,3,2,1
"993","F  MONTPEL01",22,1540.652,35.1217391304348,6.28913043478261,2,23,230,86,2
"994","F  MONTPEL02",22,1515.35021582734,30.0287769784173,5.8273381294964,3,32,139,69,2
"995","F  MONTPEL03",21,1780.88272727273,33.763085399449,6.25550964187328,3,35,363,107,2
"996","F  MONTPEL08",22,1774.06235294118,34.4117647058824,7.23529411764706,2,5,17,12,1
"997","F  MONTPEL10",23.5,1585.15277777778,30.4444444444444,6.69444444444444,2,7,18,12,1
"998","F  MONTPEL12",21,487.5,18,3.75,1,1,1,1,1
"999","F  MONTPEL13",22,2183.74861111111,37.287037037037,7.45833333333333,2,12,108,40,1
"1000","F  MONTPEL14",22,1947.96925,34.975,7.33125,2,2,40,27,1
"1001","F  MONTPEL36",22,650,24,5,1,1,1,1,1
"1002","F  MONTPEL44",23,1137.5,39.4,8.75,1,2,5,2,1
"1003","F  MONTPEL48",23,2971,45,4.75,1,1,2,1,1
"1004","F  MONTPEL51",23,390,0,3,1,1,2,1,1
"1005","F  MONTPEL52",20.5,1262.5,32.5,5,1,2,2,2,1
"1006","F  MULHOUS01",22,2068.61691176471,42.3970588235294,7.34558823529412,3,14,68,30,1
"1007","F  NANCY05",24,880,32,4,1,1,1,1,1
"1008","F  NANCY12",21.5,1699.5,26.2,5.425,1,7,10,6,1
"1009","F  NANCY21",20,875.26,35,4.625,1,2,2,2,1
"1010","F  NANCY37",23,1090.1598,23.36,4.845,3,6,50,14,1
"1011","F  NANCY38",23,1201.4375,49,8.078125,1,4,16,5,1
"1012","F  NANCY41",20,390,30,3,1,1,1,1,1
"1013","F  NANCY42",23,2383.33333333333,30.6666666666667,4.83333333333333,1,2,3,2,1
"1014","F  NANCY43",22,1598.14756302521,32.6078431372549,6.16736694677871,3,51,357,130,2
"1015","F  Nantes01",23,4095,60,8.75,1,2,2,1,1
"1016","F  NANTES01",22,1664.546,36.1228571428571,6.14357142857143,2,41,350,108,2
"1017","F  NANTES07",23,1588.34707317073,35.8292682926829,8.23780487804878,2,7,41,17,1
"1018","F  NANTES09",24,500,20,4.75,1,2,2,2,1
"1019","F  NANTES12",22,1038.49255813953,27.5116279069767,4.45348837209302,2,5,43,14,1
"1020","F  NANTES13",22,1764.99305555556,43.6666666666667,8.01388888888889,2,3,36,17,1
"1021","F  NANTES34",23,2042.5,34,5.65,2,3,5,4,1
"1022","F  NANTES39",24,805,20,3.5,1,1,1,1,1
"1023","F  NANTES43",21,1225.77173913043,29.7826086956522,4.18478260869565,2,5,23,16,1
"1024","F  NANTES62",20,2166.66666666667,8.33333333333333,4.16666666666667,1,2,3,1,1
"1025","F  NANTES65",22,1718.08333333333,32.0833333333333,8,1,4,12,8,1
"1026","F  NICE01",22,1604.13225433526,28.2052023121387,6.38005780346821,5,42,346,125,2
"1027","F  NICE09",26,1692.25,30,5.875,1,2,4,4,1
"1028","F  NIMES10",20,1386.698,31.2,5,1,2,5,1,1
"1029","F  NIMES15",22,1385.94,32.8,6.7,1,2,5,4,1
"1030","F  NIMES17",21,1401.11111111111,48.3333333333333,8.38888888888889,1,6,9,3,1
"1031","F  NOISY02",23.5,1069.95,30.2,5.825,2,5,10,4,1
"1032","F  NOISY04",22,2000,30,6,1,1,1,1,1
"1033","F  NOUMEA03",22,1949.01,23.4615384615385,5.65384615384615,1,6,13,5,1
"1034","F  ORLEANS01",22,2210.79390243902,36.8536585365854,6.46036585365854,4,35,164,61,2
"1035","F  ORLEANS07",21,1100,23,5,1,1,1,1,1
